Country,Constant (2023) US$,Current US$,Share of GDP,Per capita,Share of Govt. spending
Afghanistan,...,...,...,...,...
Albania,397.61761306954554,397.61761306954554,0.017407334644623032,140.899225042362,0.05966707031661076
Algeria,18263.96796826213,18263.96796826213,0.0739039327356489,398.5068614750307,0.20041839557093083
Angola,1247.8463450851725,1247.8463450851725,0.014072554207716375,34.48327700790816,0.05910394328676558
Argentina,4882.352998999768,4882.352998999768,0.007556941398797396,107.40124065641058,0.01997361265671415
Armenia,1326.2456793866888,1326.2456793866893,0.05506298148505661,457.0109163978943,0.20404251290749606
Australia,32387.98979774595,32387.98979774595,0.018615713345605224,1230.499973319629,0.05013067131162605
Austria,4452.227950613869,4452.227950613869,0.008708299524232193,487.32792804442533,0.016564703234156812
Azerbaijan,3561.670588235294,3561.6705882352944,0.04922414038396657,344.7222791555647,0.15025535399657544
Bahrain,1622.3936170212764,1622.3936170212764,0.03520835738196929,1045.3567119982451,0.11799226305609284
Bangladesh,3782.793038256228,3782.793038256228,0.009194714990495066,22.195972693623826,0.07109129669204282
Belarus,1579.3310785419017,1579.3310785419017,0.020234478441946122,172.69886042010953,0.4824031772997544
Belgium,7629.396588605928,7629.396588605927,0.01184228752117569,652.1966651227498,0.022127523571086136
Belize,30.566587499999997,30.5665875,0.009929337684841907,74.91810661764706,0.04105653122901276
Benin,149.03528800474317,149.0352880047432,0.007575513829190023,10.695800775422937,0.039517432155833636
Bolivia,588.816403688688,588.8164036886878,0.013043083736016097,48.42638405203453,0.03426680930640026
Bosnia and Herzegovina,197.3325157983119,197.33251579831193,0.007176300606490913,61.78225291118094,0.017189635261283805
Botswana,485.56787004692586,485.56787004692586,0.02456258982166489,197.38531302720563,0.07360794195520505
Brazil,21788.291072488297,21788.291072488297,0.010023753899013114,103.40563470833098,0.022054853490544014
Brunei,448.9114907294427,448.9114907294426,0.029760174969380354,982.3008549878393,0.10135309927767512
Bulgaria,1989.7034778381724,1989.7034778381724,0.019445831065125423,292.045131049196,0.05194018659245267
Burkina Faso,827.153018861823,827.153018861823,0.04078711723920401,36.33282170174045,0.1397533148955052
Burundi,145.1680216511481,145.16802165114814,0.03431577110326398,10.750001603313695,0.11793966193386705
Cambodia,667.9857331584851,667.9857331584851,0.015448976529504957,38.578442573403706,0.08273258302208641
Cameroon,456.5690918880268,456.5690918880268,0.009264904695172722,16.30720379627212,0.05417203775245734
Canada,27227.653114122786,27227.653114122786,0.012531656787590198,697.0725323636146,0.02991708933016414
Cape Verde,14.353938320532245,14.353938320532245,0.005664941346719667,27.550745336914098,0.022299029481779895
Central African Republic,62.52702181344471,62.52702181344471,0.023772065957814878,12.344920397521166,0.13272930249486434
Chad,372.7518557233594,372.75185572335937,0.02117589828750576,19.861032380826906,0.11700924171180224
Chile,5470.078568904184,5470.078568904183,0.01630263886709055,279.04293061797597,0.05951066734449064
China,296821.37759150215,296821.37759150215,0.016648488965981343,208.4037810425913,0.050293160543620576
Colombia,10779.238341591623,10779.238341591625,0.02965452179713587,207.16157710667508,0.08463041115134531
"Congo, DR",794.2445980722746,794.2445980722746,0.011188599602745212,7.632343850093449,0.06766344152411093
"Congo, Republic",284.9944296640487,284.99442966404865,0.01976256410721414,46.659205904395655,0.09730239961815046
Costa Rica,0,0,...,...,...
Cote d'Ivoire,682.1771113492144,682.1771113492144,0.008648784677788417,22.1601192616039,0.04025410043387746
Croatia,1439.0603324964025,1439.0603324964022,0.017066315878059245,368.7062086847047,0.036750910495530295
Cuba,...,...,...,...,...
Cyprus,558.8783108111028,558.8783108111028,0.016506068333336045,417.69679432817844,0.04312630262609421
Czechia,5056.277310052805,5056.277310052805,0.014717682101741838,466.9631797241231,0.03364770163939051
Czechoslovakia,xxx,xxx,xxx,xxx,xxx
Denmark,8132.606555213821,8132.606555213822,0.019996133291757274,1370.972109779808,0.04269719206808529
Djibouti,...,...,...,...,...
Dominican Republic,946.42577318119,946.42577318119,0.007793086793453215,83.88068538342552,0.04108027305949061
Ecuador,2692,2692,0.02265138561497105,150.3742598592336,0.05632270482885597
Egypt,3167.1501259135603,3167.1501259135607,0.008089187070931645,27.906127478466168,0.04199972548194373
El Salvador,454.76666666666665,454.7666666666667,0.013369350039108593,72.24252051893038,0.043356532240124576
Equatorial Guinea,162.19239415267498,162.192394152675,0.015186724061043428,88.87254474119179,0.06831999655556273
Eritrea,...,...,...,...,...
Estonia,1235.9497149969102,1235.9497149969102,0.029957229752250267,904.1329297709657,0.06951449231330133
Eswatini,70.513370260132,70.513370260132,0.0138354667632574,57.561934906230206,0.04731727272727273
Ethiopia,1409.020101008437,1409.020101008437,0.008824900473590247,11.092200940016665,0.08155000471457738
European Union,1273.7628618718156,1273.7628618718156,8.518243941199274e-05,28.381525442776642,0.006993919620347027
Fiji,73.34829746573489,73.34829746573489,0.01333517823635248,79.5534679671745,0.04609351643192488
Finland,5928.02105436018,5928.02105436018,0.020075369530220988,1060.4688827120178,0.03543818178295325
France,59491.964166101265,59491.96416610127,0.01950996838000512,896.2197641810349,0.03423437985700963
Gabon,265.3858026318787,265.3858026318787,0.013232439973537373,107.96818658742012,0.05964157626415318
"Gambia, The",13.950935482351191,13.950935482351193,0.005810088458009623,5.230946937514508,0.02440518253400143
Georgia,508.40141939870364,508.40141939870364,0.016586480840536225,133.5438453897304,0.05543985338220593
German Democratic Republic,xxx,xxx,xxx,xxx,xxx
Germany,67285.19863786241,67285.19863786241,0.01487963326205636,797.2085477406952,0.030755739097369342
Ghana,285.3759346916375,285.3759346916375,0.003980802475658065,8.5270844321761,0.02022424522339443
Greece,7014.878933107463,7014.878933107463,0.028832547263344513,677.8315714665632,0.05911379382550824
Guatemala,437.64500382420647,437.6450038242065,0.004189820957895399,24.335242650367356,0.03053560928674519
Guinea,504.6671802862754,504.6671802862754,0.021330970162216127,35.46750862929759,0.13931665609706184
Guinea-Bissau,25.29239217056829,25.292392170568288,0.012348847572106034,11.879939957993559,0.05762904140669313
Guyana,109.67487253633665,109.67487253633666,0.006403531015401343,133.100573466428,0.02762552591982059
Haiti,11.786377442106627,11.786377442106629,0.0005408046207618452,1.0187015939590862,0.009285724260824392
Honduras,522.9608573826795,522.9608573826796,0.015238863053834227,49.550962420189464,0.058334871224251635
Hungary,4355.478069889931,4355.478069889931,0.020495109679697154,449.80667870390704,0.04178178385596538
Iceland,0,0,...,...,...
India,82293.33216258115,82293.33216258115,0.02356794266782624,57.47933206997621,0.0790153722484163
Indonesia,11258.797569510034,11258.797569510034,0.008211081204668123,40.206257881446845,0.049307595413319284
Iran,7390.861136377818,7390.861136377818,0.023517918727696808,82.02680417275583,0.1498473195337992
Iraq,5518.874505283099,5518.874505283099,0.022626948691918263,123.76933180720114,0.05123182964233679
Ireland,1269.225284246827,1269.225284246827,0.0023037471100304445,245.6882083327191,0.010169139414504095
Israel,27498.52785685238,27498.52785685238,0.053847997335162184,2991.8972752532236,0.138069096948082
Italy,36933.180928345166,36933.180928345166,0.016064604092835652,620.058775910704,0.02986042627679079
Jamaica,230.3602183609181,230.3602183609181,0.011859959035240848,81.11275294398524,0.03842833815418278
Japan,48189.108621390515,48189.108621390515,0.011395464178504126,386.5302165009547,0.02768794352953949
Jordan,2450.2391030452545,2450.2391030452545,0.0481224565580192,215.93717308938528,0.1486008168755557
Kazakhstan,1164.302584933854,1164.302584933854,0.004407756730819477,57.65015770122073,0.019019274246564674
Kenya,1053.7955722424294,1053.7955722424294,0.009753881279566367,19.23195189696736,0.04299911766456548
"Korea, North",...,...,...,...,...
"Korea, South",47801.863038878735,47801.863038878735,0.025992577105255356,923.5468814868668,0.11225236372923364
Kosovo,133.18546592279202,133.18546592279202,0.012735135179807584,77.93181154054537,0.04277480916030534
Kuwait,7755.031935627665,7755.031935627666,0.04768858417268116,1617.991223790458,0.09729388292443973
Kyrgyz Republic,483.8686884227681,483.86868842276806,0.0345490593195541,68.9664607216032,0.09694642718508674
Laos,...,...,...,...,...
Latvia,1253.7964399462408,1253.7964399462405,0.029701695692080792,665.1439999714803,0.06840666077217801
Lebanon,286.21731780181096,286.21731780181096,0.01624092345755437,49.6818812362109,0.08905215246938428
Lesotho,34.446236515400514,34.446236515400514,0.01625279784175704,14.989659058050702,0.03260147708023202
Liberia,62.518,62.518,0.014241002277904327,11.507086324314376,0.052447986577181215
Libya,1573.6827773146888,1573.6827773146888,0.05287051309511954,216.49233420204826,0.05466064981949458
Lithuania,2162.912001244593,2162.912001244593,0.027130005288797086,761.3206621769069,0.0732313995171556
Luxembourg,662.4924663457451,662.4924663457452,0.007731794218102403,1002.257891597194,0.016075650198439824
Madagascar,101.86616111700118,101.86616111700121,0.006477580154069051,3.3059475259468796,0.03621689278865363
Malawi,149.58233654066032,149.58233654066035,0.01165357839597319,7.1800670350242575,0.041090783959935595
Malaysia,3925.419274890087,3925.419274890087,0.009814667588590509,112.45042038759271,0.04054401205486416
Mali,785.2650084672227,785.2650084672229,0.03773641422260593,33.535403504749866,0.148341306026858
Malta,112.63672153534341,112.63672153534341,0.005048662536281095,212.5221161044215,0.014022461331540014
Mauritania,277.1614963252498,277.1614963252498,0.022604804757485223,56.01485374398743,0.10377844656992084
Mauritius,19.93671586307614,19.936715863076138,0.0014048907662345964,15.636639892608736,0.004749078910610844
Mexico,11825.909998032439,11825.909998032437,0.006603718797525054,91.55236080879173,0.02309640016433655
Moldova,94.36290535631728,94.36290535631728,0.0057061266018844535,30.627362984848194,0.014545549795963383
Mongolia,111.46704198602069,111.46704198602069,0.005425657424784386,32.68828210733744,0.017198312860677717
Montenegro,114.26052609971435,114.26052609971435,0.015187513956472321,181.94351289763432,0.0376236214870153
Morocco,5184.928399542389,5184.9283995423875,0.03592634201610269,138.17632447346733,0.10964218754236209
Mozambique,404.3991853360489,404.3991853360489,0.01928230857493428,12.202383311790499,0.05815606032614328
Myanmar,3140.2245375400666,2493.4864513424823,0.03753716125185765,46.221040119793166,0.16059800007479233
Namibia,339.40513187653556,339.4051318765356,0.027467069889523375,115.91705323652172,0.07458345251716247
Nepal,436.4629238793196,436.4629238793196,0.010715463558877258,14.688303007885567,0.04283777459159492
Netherlands,16624.82011745844,16624.82011745844,0.01441365156767663,922.6272333347266,0.03336390462623884
New Zealand,3029.024714665751,3029.024714665751,0.01220648288809021,588.0459550894489,0.02949775555887181
Nicaragua,98.59293650294244,98.59293650294244,0.0055465601999636766,14.548168290237928,0.020993853951239403
Niger,331.9173103256951,331.9173103256951,0.019761600098112227,12.901516318486225,0.12496400001986206
Nigeria,3101.259562897293,3101.259562897293,0.008426542773651966,13.753118973357694,0.06211903779956343
North Macedonia,266.629712724026,266.629712724026,0.016932281551281594,145.2231550784455,0.04771381754487297
Norway,8797.762486630761,8797.762486630761,0.01813147371501024,1602.798776941294,0.03970351044453784
Oman,5851.7555266579975,5851.7555266579975,0.05525960964611746,1186.246812620717,0.20118025751072965
Pakistan,8626.157588370106,8626.157588370106,0.028807997406969228,35.112354993711584,0.14987039077603975
Panama,0,0,...,...,...
Papua New Guinea,97.04925702319159,97.04925702319157,0.0033686376199167905,9.425918514295995,0.014158033719276864
Paraguay,397.5794853625594,397.5794853625594,0.009220719757517782,58.450380088585625,0.04293512239232898
Peru,3308.611848313437,3308.6118483134364,0.012358599522003067,98.306746146703,0.05512040581367414
Philippines,5142.604807858252,5142.604807858253,0.011763026815377811,44.94851725671703,0.04771266601873443
Poland,26342.764301582567,26342.76430158256,0.032698045925311836,678.6923352806349,0.06977209555288047
Portugal,4236.15282561441,4236.15282561441,0.014664284816808188,406.11186133778256,0.034875653751734445
Qatar,...,...,...,...,...
Romania,5628.033535951843,5628.033535951844,0.016035795616725895,293.60078960570945,0.04376511690405804
Russia,109203.62473837858,109203.62473837858,0.05402318441206858,749.6387488476306,0.14789233152022105
Rwanda,179.43300947733135,179.43300947733138,0.012523162074359283,12.999565998502598,0.046332692593624714
Saudi Arabia,77765.33333333334,77765.33333333333,0.0728424248969983,2366.061196133913,0.225496526153406
Senegal,448.993705877196,448.993705877196,0.014765582398040334,25.129775892830136,0.05643696508689886
Serbia,1796.8794401048397,1796.87944010484,0.022080731869213492,264.71411904903357,0.05438495940233788
Seychelles,33.226261127596445,33.22626112759644,0.01486421612276897,261.62410336690107,0.044446759948397335
Sierra Leone,37.826350383725625,37.826350383725625,0.00603276275520294,4.520357359431839,3.4169427703755995e-05
Singapore,14181.464336746845,14181.464336746845,0.028301413202994265,2459.4978038062513,0.1841594827586207
Slovakia,2441.648912493896,2441.648912493896,0.018386108556287206,442.5682277494827,0.03840076121862947
Slovenia,912.9174031227178,912.9174031227177,0.01321319195587639,431.02804680015004,0.02842916260135249
Somalia,...,140.974,0.012852037560397484,7.818423825633631,0.19154076086956523
South Africa,2876.466038913462,2876.466038913462,0.007545610533493816,45.80578752031884,0.023131266952823415
South Sudan,1076.1661292799017,1076.1661292799017,0.020961337947433295,96.54311736609866,0.08815469995440754
Spain,23821.202155565446,23821.20215556545,0.014715775760115969,497.23844439362614,0.032481364721133735
Sri Lanka,1165.8246402134698,1165.8246402134698,0.016400307958709816,50.89825977792926,...
Sudan,...,...,...,...,...
Sweden,8754.872951012165,8754.872951012165,0.015012603660659101,832.0540725158872,0.03162529589332639
Switzerland,6289.176348464885,6289.176348464885,0.007056590215964239,711.2039294882829,0.022075293220028883
Syria,...,...,...,...,...
Taiwan,16344.564791689403,16344.564791689405,0.021384941174298427,699.3823188570562,0.11369803851159484
Tajikistan,285.06344990408735,285.06344990408735,0.023964212615518204,27.708344664083143,0.07722480387747963
Tanzania,946.2498757414096,946.2498757414096,0.012101136582609981,14.412018151018316,0.0637823332638709
Thailand,5745.692331574045,5745.692331574045,0.011309417952785953,80.11730062432436,0.049040591899776484
Timor Leste,55.111000000000004,55.111000000000004,0.02649567307692308,40.022512708787225,0.03247554507955216
Togo,276.3490766788107,276.3490766788107,0.03046695404907775,30.051008773250405,0.11464306212249584
Trinidad and Tobago,243.29464927898502,243.29464927898502,0.009593897241600164,162.19643285265667,0.029168360044528472
Tunisia,1208.204189729942,1208.2041897299423,0.024871221258485822,99.35072689169824,0.0700123221687017
Turkmenistan,...,...,...,...,...
TÃ¼rkiye,19577.83192354367,19577.831923543665,0.017199188018746526,...,...
USSR,xxx,xxx,xxx,xxx,xxx
Uganda,976.6609862433407,976.6609862433407,0.018068657115873327,20.35516113135076,0.0994738049119809
Ukraine,64908.02532704769,64908.02532704768,0.3652817250772237,1707.027806833781,0.4908650887578307
United Arab Emirates,...,...,...,...,...
United Kingdom,75303.38748001808,75303.38748001806,0.022306397390432234,1100.2350493113695,0.05049942386681426
United States of America,916014.7,916014.7,0.033044416375979976,2674.6907073509014,0.09108501794823351
Uruguay,1511.4497603037178,1511.449760303718,0.021156123727500222,445.9869460913892,0.06357442187420385
Uzbekistan,...,...,...,...,...
Venezuela,3.9170573402045368,3.9170573402045368,0.005007044976434455,0.13865198896338313,...
Viet Nam,...,...,...,...,...
Yemen,...,...,...,...,...
"Yemen, North",xxx,xxx,xxx,xxx,xxx
Yugoslavia,xxx,xxx,xxx,xxx,xxx
Zambia,377.172056162625,377.172056162625,0.013387903893461726,18.461676757837736,0.04693278156524364
Zimbabwe,870.4335378868728,870.433537886873,0.002097935813262285,53.720517057759245,0.011680380113636906
